ms	gs	fb	wmt	xom	msft	nke
34.17	193.03	106.26	60.7	80.3	53.94	125.78
34.25	193.66	107.77	60.93	80.74	53.85	125.78
33.59	190.57	105.13	59.92	79.96	52.97	122.58
34.05	192.16	104.04	57.87	80.9	53.76	123.46
33.93	190.39	103.95	56.42	78.1	52.84	121.86
34.23	192.77	108.02	56.95	79.41	53.32	125.98
35.02	197.39	109.01	57.58	81.62	53.65	127.42
35.24	197.81	107.91	58.68	82.35	53.51	130
35.11	196.76	106.49	58.49	81.95	54.16	130.48
35.41	199.17	107.1	58.78	84.47	54.92	131.78
33.88	192.02	108.76	58.61	84.81	54.38	131.86
33.4	191.65	103.94	58.37	85.98	54.4	130.36
33.29	190.69	102.58	58.11	86.85	54.15	131.4
33.48	189.68	103.31	57.61	85.28	53.24	131.19
32.97	187.5	101.97	57.24	82.74	52.64	131.03
33.54	189.89	104.88	57.96	82.23	53.36	131.12
33.44	191.32	104.2	57.64	82.28	53.98	131.29
32.23	186.31	103.7	57.48	81.09	53.69	130.82
32.55	187.01	103.77	58.02	81.22	54.25	131.38
32.62	185.5	102.19	58.3	82.98	52.87	130.53
32.35	183.56	99.67	58.9	82.89	48.03	132.41
31.48	179.7	97.11	58.64	80.21	47.2	132.47
32.25	185.51	97	58.75	80.83	47.77	132.37
32.32	185.74	98.47	58.85	80.99	47.62	133.21
33.95	185.18	97.54	58.89	82.48	47.51	130.47
33.61	184.96	95.96	59.33	81.48	47.01	128.79
32.54	179.51	94.07	60.03	80.16	46.68	125.84
32.61	180.97	94.12	66.73	79.16	46.89	125.81
32.8	180.23	94.26	66.93	79.3	47	126.43
32.72	179.19	93.24	66.69	79.26	47.11	124.94
32.99	181.07	92.47	66.88	80.03	47.45	124.91
32.93	182.23	92.4	66.36	79.2	46.8	122.1
32.36	180.32	92.8	65.68	77.89	46.75	123.19
32.29	180.7	94.01	65.87	76.81	46.63	124.27
31.43	177.01	92.07	64.98	75.88	45.57	125.21
31.5	176.02	90.95	64.27	74.06	44.61	123.83
